Sensor,Value,Timestamp
2020-12-03T11:50:43+05:30,37.56,Sensor-2
2020-12-03T11:52:44+05:30,200,Sensor-2
2020-12-03T11:53:43+05:30,37.81,Sensor-2
2020-12-03T11:56:43+05:30,37.81,Sensor-2
2020-12-03T11:57:43+05:30,37.87,Sensor-2
2020-12-03T12:14:56+05:30,35.75,Sensor-2
2020-12-03T12:17:57+05:30,33.75,Sensor-2
2020-12-03T12:19:57+05:30,33.81,Sensor-2
2020-12-03T12:20:56+05:30,33.93,Sensor-2
2020-12-03T12:21:56+05:30,33.75,Sensor-2
2020-12-03T12:23:57+05:30,33,Sensor-2
2020-12-03T12:30:04+05:30,32.87,Sensor-2
2020-12-03T12:31:04+05:30,33.06,Sensor-2
2020-12-03T12:32:04+05:30,32.81,Sensor-2
2020-12-03T12:33:05+05:30,32.81,Sensor-2
2020-12-03T12:36:08+05:30,32.18,Sensor-2
2020-12-03T12:41:08+05:30,32.5,Sensor-2
2020-12-03T12:43:11+05:30,32.37,Sensor-2
2020-12-03T12:46:08+05:30,31.81,Sensor-2
2020-12-03T12:50:09+05:30,32.06,Sensor-2
2020-12-03T12:51:08+05:30,32.12,Sensor-2
2020-12-03T12:52:09+05:30,32.43,Sensor-2
2020-12-03T12:56:09+05:30,31.37,Sensor-2
2020-12-03T12:57:08+05:30,31.87,Sensor-2
2020-12-03T13:01:08+05:30,31.93,Sensor-2
2020-12-03T13:05:08+05:30,32.18,Sensor-2
2020-12-03T13:08:09+05:30,31.62,Sensor-2
2020-12-03T13:09:08+05:30,31.81,Sensor-2
2020-12-03T13:10:08+05:30,31.87,Sensor-2
2020-12-03T13:11:08+05:30,32.18,Sensor-2
2020-12-03T13:12:08+05:30,32.25,Sensor-2
2020-12-03T13:13:08+05:30,32,Sensor-2
2020-12-03T13:16:09+05:30,200,Sensor-2
2020-12-03T13:17:08+05:30,32.12,Sensor-2
